frame_idx,width
0,29
1,27
2,23
3,22
4,21
5,22
6,21
7,22
8,22
9,22
10,21
11,21
12,22
13,22
14,22
15,22
16,22
17,22
18,22
19,24
20,24
21,25
22,25
23,24
24,24
25,24
26,23
27,24
28,24
29,24
30,24
31,24
32,24
33,24
34,24
35,24
36,23
37,23
38,23
39,23
40,24
41,24
42,23
43,23
44,24
45,24
46,24
47,24
48,23
49,23
50,23
51,23
52,23
53,23
54,23
55,24
56,23
57,23
58,23
59,22
60,22
61,22
62,23
63,22
64,22
65,22
66,22
67,23
68,23
69,23
70,23
71,23
72,23
73,23
74,23
75,23
76,22
77,22
78,22
79,22
80,22
81,22
82,23
83,23
84,24
85,24
86,24
87,24
88,24
89,24
90,24
91,24
92,24
93,24
94,24
95,24
96,24
97,23
98,22
99,22
100,23
101,22
102,23
103,23
104,23
105,23
106,22
107,22
108,23
109,23
110,24
111,24
112,24
113,24
114,24
115,24
116,24
117,24
118,24
119,24
120,24
121,24
122,23
123,23
124,22
125,23
126,23
127,23
128,21
129,23
130,23
131,23
132,23
133,23
134,23
135,23
136,23
137,22
138,22
