idx	image_name	angle	width
1	timoshenko_modeling:bimorph_idx0_minute001	180	71.299734748
2	timoshenko_modeling:bimorph_idx0_minute001	0	63.236074271
3	timoshenko_modeling:bimorph_idx0_minute002	180	70.450928382
4	timoshenko_modeling:bimorph_idx0_minute002	0	63.660477454
5	timoshenko_modeling:bimorph_idx0_minute003	180	70.450928382
6	timoshenko_modeling:bimorph_idx0_minute003	0	62.811671088
7	timoshenko_modeling:bimorph_idx0_minute004	180	69.602122016
8	timoshenko_modeling:bimorph_idx0_minute004	0	63.236074271
9	timoshenko_modeling:bimorph_idx0_minute005	0	69.177718833
10	timoshenko_modeling:bimorph_idx0_minute005	0	63.660477454
11	timoshenko_modeling:bimorph_idx0_minute006	180	68.753315650
12	timoshenko_modeling:bimorph_idx0_minute006	0	63.236074271
13	timoshenko_modeling:bimorph_idx0_minute007	180	66.206896552
14	timoshenko_modeling:bimorph_idx0_minute007	0	60.265251989
15	timoshenko_modeling:bimorph_idx0_minute008	180	65.782493369
16	timoshenko_modeling:bimorph_idx0_minute008	0	59.416445623
17	timoshenko_modeling:bimorph_idx0_minute009	180	64.933687003
18	timoshenko_modeling:bimorph_idx0_minute009	0	58.567639257
19	timoshenko_modeling:bimorph_idx0_minute010	180	63.660477454
20	timoshenko_modeling:bimorph_idx0_minute010	0	57.718832891
21	timoshenko_modeling:bimorph_idx0_minute011	180	62.811671088
22	timoshenko_modeling:bimorph_idx0_minute011	0	58.567639257
23	timoshenko_modeling:bimorph_idx0_minute012	180	64.509283820
24	timoshenko_modeling:bimorph_idx0_minute012	0	57.718832891
25	timoshenko_modeling:bimorph_idx0_minute013	0	61.114058355
26	timoshenko_modeling:bimorph_idx0_minute013	180	56.021220159
27	timoshenko_modeling:bimorph_idx0_minute014	180	61.114058355
28	timoshenko_modeling:bimorph_idx0_minute014	0	54.323607427
29	timoshenko_modeling:bimorph_idx0_minute015	180	59.416445623
30	timoshenko_modeling:bimorph_idx0_minute015	0	53.050397878
31	timoshenko_modeling:bimorph_idx0_minute016	180	58.992042440
32	timoshenko_modeling:bimorph_idx0_minute016	0	53.050397878
33	timoshenko_modeling:bimorph_idx0_minute017	180	57.294429708
34	timoshenko_modeling:bimorph_idx0_minute017	0	51.352785146
35	timoshenko_modeling:bimorph_idx0_minute018	180	56.445623342
36	timoshenko_modeling:bimorph_idx0_minute018	0	50.928381963
37	timoshenko_modeling:bimorph_idx0_minute019	180	55.596816976
38	timoshenko_modeling:bimorph_idx0_minute019	0	50.079575597
39	timoshenko_modeling:bimorph_idx0_minute020	180	54.323607427
40	timoshenko_modeling:bimorph_idx0_minute020	0	48.806366048
41	timoshenko_modeling:bimorph_idx0_minute021	180	53.474801061
42	timoshenko_modeling:bimorph_idx0_minute021	0	49.230769231
43	timoshenko_modeling:bimorph_idx0_minute022	180	51.777188329
44	timoshenko_modeling:bimorph_idx0_minute022	0	47.533156499
45	timoshenko_modeling:bimorph_idx0_minute023	180	52.201591512
46	timoshenko_modeling:bimorph_idx0_minute023	0	47.108753316
47	timoshenko_modeling:bimorph_idx0_minute024	180	50.079575597
48	timoshenko_modeling:bimorph_idx0_minute024	0	45.411140584
49	timoshenko_modeling:bimorph_idx0_minute025	180	49.230769231
50	timoshenko_modeling:bimorph_idx0_minute025	0	44.986737401
51	timoshenko_modeling:bimorph_idx0_minute026	180	47.957559682
52	timoshenko_modeling:bimorph_idx0_minute026	0	44.137931034
53	timoshenko_modeling:bimorph_idx0_minute027	180	47.957559682
54	timoshenko_modeling:bimorph_idx0_minute027	0	43.289124668
55	timoshenko_modeling:bimorph_idx0_minute028	180	46.259946950
