measurement_idx	export_frame	x_pos	y_pos	frame
3	drying_120C_frames:frame002	546.000000000	374.500000000	0
12	drying_120C_frames:frame036	547.500000000	306.000000000	1
13	drying_120C_frames:frame036	547.500000000	309.500000000	2
14	drying_120C_frames:frame036	548.500000000	312.500000000	3
15	drying_120C_frames:frame036	548.500000000	315.500000000	4
16	drying_120C_frames:frame036	548.500000000	319.500000000	5
17	drying_120C_frames:frame036	548.500000000	319.500000000	6
18	drying_120C_frames:frame036	548.500000000	326.500000000	7
19	drying_120C_frames:frame036	549.500000000	332.500000000	8
20	drying_120C_frames:frame036	549.500000000	335.500000000	9
21	drying_120C_frames:frame036	549.500000000	339.500000000	10
22	drying_120C_frames:frame036	546.500000000	345.500000000	11
23	drying_120C_frames:frame036	549.500000000	347.500000000	12
24	drying_120C_frames:frame036	548.500000000	349.500000000	13
25	drying_120C_frames:frame036	548.500000000	352.500000000	14
26	drying_120C_frames:frame036	549.500000000	353.500000000	15
27	drying_120C_frames:frame036	549.500000000	356.500000000	16
28	drying_120C_frames:frame036	549.500000000	361.500000000	17
29	drying_120C_frames:frame036	547.500000000	359.500000000	18
30	drying_120C_frames:frame036	547.500000000	358.500000000	19
31	drying_120C_frames:frame036	548.500000000	357.500000000	20
32	drying_120C_frames:frame036	548.500000000	357.500000000	21
33	drying_120C_frames:frame036	548.500000000	357.500000000	22
34	drying_120C_frames:frame036	548.500000000	357.500000000	23
35	drying_120C_frames:frame036	548.500000000	357.500000000	24
36	drying_120C_frames:frame036	548.500000000	355.500000000	25
37	drying_120C_frames:frame036	549.500000000	353.500000000	26
38	drying_120C_frames:frame036	549.500000000	353.500000000	27
39	drying_120C_frames:frame036	549.500000000	353.500000000	28
40	drying_120C_frames:frame036	549.500000000	353.500000000	29
41	drying_120C_frames:frame036	549.500000000	353.500000000	30
42	drying_120C_frames:frame036	549.500000000	353.500000000	31
43	drying_120C_frames:frame036	549.500000000	353.500000000	32
44	drying_120C_frames:frame036	549.500000000	353.500000000	33
45	drying_120C_frames:frame036	549.500000000	353.500000000	34
46	drying_120C_frames:frame036	549.500000000	353.500000000	35
47	drying_120C_frames:frame036	549.500000000	353.500000000	36
