minutes,x,y
0.000000000000000000e+00,2.850000000000000000e+02,3.680000000000000000e+02
1.000000000000000000e+00,2.840000000000000000e+02,3.680000000000000000e+02
2.000000000000000000e+00,2.830000000000000000e+02,3.670000000000000000e+02
3.000000000000000000e+00,2.810000000000000000e+02,3.670000000000000000e+02
4.000000000000000000e+00,2.780000000000000000e+02,3.660000000000000000e+02
5.000000000000000000e+00,2.760000000000000000e+02,3.660000000000000000e+02
6.000000000000000000e+00,2.730000000000000000e+02,3.660000000000000000e+02
7.000000000000000000e+00,2.690000000000000000e+02,3.660000000000000000e+02
8.000000000000000000e+00,2.650000000000000000e+02,3.650000000000000000e+02
9.000000000000000000e+00,2.600000000000000000e+02,3.640000000000000000e+02
1.000000000000000000e+01,2.540000000000000000e+02,3.640000000000000000e+02
1.100000000000000000e+01,2.480000000000000000e+02,3.630000000000000000e+02
1.200000000000000000e+01,2.410000000000000000e+02,3.610000000000000000e+02
1.300000000000000000e+01,2.220000000000000000e+02,3.570000000000000000e+02
1.400000000000000000e+01,2.250000000000000000e+02,3.570000000000000000e+02
1.500000000000000000e+01,2.160000000000000000e+02,3.540000000000000000e+02
1.600000000000000000e+01,1.970000000000000000e+02,3.500000000000000000e+02
1.700000000000000000e+01,1.880000000000000000e+02,3.470000000000000000e+02
1.800000000000000000e+01,1.780000000000000000e+02,3.440000000000000000e+02
1.900000000000000000e+01,1.670000000000000000e+02,3.390000000000000000e+02
2.000000000000000000e+01,1.570000000000000000e+02,3.330000000000000000e+02
2.100000000000000000e+01,1.450000000000000000e+02,3.220000000000000000e+02
2.200000000000000000e+01,1.340000000000000000e+02,3.210000000000000000e+02
2.300000000000000000e+01,1.200000000000000000e+02,3.130000000000000000e+02
2.400000000000000000e+01,1.090000000000000000e+02,3.010000000000000000e+02
2.500000000000000000e+01,9.600000000000000000e+01,2.880000000000000000e+02
2.600000000000000000e+01,8.300000000000000000e+01,2.710000000000000000e+02
2.700000000000000000e+01,7.200000000000000000e+01,2.520000000000000000e+02
2.800000000000000000e+01,6.200000000000000000e+01,2.270000000000000000e+02
2.900000000000000000e+01,5.500000000000000000e+01,1.970000000000000000e+02
3.000000000000000000e+01,5.300000000000000000e+01,1.690000000000000000e+02
3.100000000000000000e+01,5.600000000000000000e+01,1.430000000000000000e+02
3.200000000000000000e+01,5.700000000000000000e+01,1.110000000000000000e+02
3.300000000000000000e+01,6.100000000000000000e+01,1.000000000000000000e+02
3.400000000000000000e+01,6.300000000000000000e+01,9.100000000000000000e+01
3.500000000000000000e+01,6.500000000000000000e+01,8.700000000000000000e+01
3.600000000000000000e+01,6.700000000000000000e+01,8.400000000000000000e+01
3.700000000000000000e+01,6.700000000000000000e+01,8.200000000000000000e+01
