frame,x,y
0.000000000000000000e+00,2.390000000000000000e+02,3.970000000000000000e+02
1.000000000000000000e+00,2.360000000000000000e+02,3.990000000000000000e+02
2.000000000000000000e+00,2.360000000000000000e+02,3.970000000000000000e+02
3.000000000000000000e+00,2.630000000000000000e+02,3.950000000000000000e+02
4.000000000000000000e+00,2.320000000000000000e+02,3.960000000000000000e+02
5.000000000000000000e+00,2.590000000000000000e+02,3.940000000000000000e+02
6.000000000000000000e+00,2.580000000000000000e+02,3.940000000000000000e+02
7.000000000000000000e+00,2.250000000000000000e+02,3.960000000000000000e+02
8.000000000000000000e+00,2.530000000000000000e+02,3.930000000000000000e+02
9.000000000000000000e+00,2.180000000000000000e+02,3.950000000000000000e+02
1.000000000000000000e+01,2.170000000000000000e+02,3.940000000000000000e+02
1.100000000000000000e+01,2.160000000000000000e+02,3.910000000000000000e+02
1.200000000000000000e+01,2.110000000000000000e+02,3.900000000000000000e+02
1.300000000000000000e+01,2.360000000000000000e+02,3.890000000000000000e+02
1.400000000000000000e+01,2.030000000000000000e+02,3.890000000000000000e+02
1.500000000000000000e+01,2.280000000000000000e+02,3.880000000000000000e+02
1.600000000000000000e+01,2.230000000000000000e+02,3.880000000000000000e+02
1.700000000000000000e+01,2.180000000000000000e+02,3.860000000000000000e+02
1.800000000000000000e+01,2.110000000000000000e+02,3.840000000000000000e+02
1.900000000000000000e+01,2.060000000000000000e+02,3.860000000000000000e+02
2.000000000000000000e+01,1.970000000000000000e+02,3.820000000000000000e+02
2.100000000000000000e+01,1.660000000000000000e+02,3.790000000000000000e+02
2.200000000000000000e+01,1.810000000000000000e+02,3.750000000000000000e+02
2.300000000000000000e+01,1.730000000000000000e+02,3.750000000000000000e+02
2.400000000000000000e+01,1.460000000000000000e+02,3.740000000000000000e+02
2.500000000000000000e+01,1.330000000000000000e+02,3.640000000000000000e+02
2.600000000000000000e+01,1.250000000000000000e+02,3.640000000000000000e+02
2.700000000000000000e+01,1.160000000000000000e+02,3.560000000000000000e+02
2.800000000000000000e+01,1.010000000000000000e+02,3.500000000000000000e+02
2.900000000000000000e+01,9.000000000000000000e+01,3.430000000000000000e+02
3.000000000000000000e+01,7.600000000000000000e+01,3.340000000000000000e+02
3.100000000000000000e+01,6.400000000000000000e+01,3.250000000000000000e+02
3.200000000000000000e+01,4.800000000000000000e+01,3.140000000000000000e+02
3.300000000000000000e+01,3.300000000000000000e+01,3.010000000000000000e+02
3.400000000000000000e+01,2.600000000000000000e+01,2.840000000000000000e+02
3.500000000000000000e+01,2.500000000000000000e+01,2.660000000000000000e+02
3.600000000000000000e+01,2.500000000000000000e+01,2.460000000000000000e+02
