minutes,x,y
0.000000000000000000e+00,2.950000000000000000e+02,2.960000000000000000e+02
1.000000000000000000e+00,2.960000000000000000e+02,2.940000000000000000e+02
2.000000000000000000e+00,2.960000000000000000e+02,2.960000000000000000e+02
3.000000000000000000e+00,2.970000000000000000e+02,3.040000000000000000e+02
4.000000000000000000e+00,2.980000000000000000e+02,2.950000000000000000e+02
5.000000000000000000e+00,3.020000000000000000e+02,2.940000000000000000e+02
6.000000000000000000e+00,3.050000000000000000e+02,2.920000000000000000e+02
7.000000000000000000e+00,3.110000000000000000e+02,2.940000000000000000e+02
8.000000000000000000e+00,3.150000000000000000e+02,2.930000000000000000e+02
9.000000000000000000e+00,3.190000000000000000e+02,2.880000000000000000e+02
1.000000000000000000e+01,3.220000000000000000e+02,2.850000000000000000e+02
1.100000000000000000e+01,3.260000000000000000e+02,2.810000000000000000e+02
1.200000000000000000e+01,3.290000000000000000e+02,2.750000000000000000e+02
1.300000000000000000e+01,3.310000000000000000e+02,2.670000000000000000e+02
1.400000000000000000e+01,3.550000000000000000e+02,2.910000000000000000e+02
1.500000000000000000e+01,3.790000000000000000e+02,3.150000000000000000e+02
1.600000000000000000e+01,4.030000000000000000e+02,3.390000000000000000e+02
1.700000000000000000e+01,4.270000000000000000e+02,3.630000000000000000e+02
1.800000000000000000e+01,4.510000000000000000e+02,3.870000000000000000e+02
1.900000000000000000e+01,4.750000000000000000e+02,4.110000000000000000e+02
2.000000000000000000e+01,4.990000000000000000e+02,4.250000000000000000e+02
2.100000000000000000e+01,5.230000000000000000e+02,4.250000000000000000e+02
2.200000000000000000e+01,5.470000000000000000e+02,4.250000000000000000e+02
2.300000000000000000e+01,5.710000000000000000e+02,4.250000000000000000e+02
2.400000000000000000e+01,5.950000000000000000e+02,4.250000000000000000e+02
2.500000000000000000e+01,6.190000000000000000e+02,4.250000000000000000e+02
2.600000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
2.700000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
