minutes,x,y
0.000000000000000000e+00,2.920000000000000000e+02,3.910000000000000000e+02
1.000000000000000000e+00,2.940000000000000000e+02,3.920000000000000000e+02
2.000000000000000000e+00,2.940000000000000000e+02,3.920000000000000000e+02
3.000000000000000000e+00,2.940000000000000000e+02,3.870000000000000000e+02
4.000000000000000000e+00,2.930000000000000000e+02,3.860000000000000000e+02
5.000000000000000000e+00,2.930000000000000000e+02,3.860000000000000000e+02
6.000000000000000000e+00,2.890000000000000000e+02,3.850000000000000000e+02
7.000000000000000000e+00,2.890000000000000000e+02,3.850000000000000000e+02
8.000000000000000000e+00,2.900000000000000000e+02,3.860000000000000000e+02
9.000000000000000000e+00,2.930000000000000000e+02,3.850000000000000000e+02
1.000000000000000000e+01,2.940000000000000000e+02,3.830000000000000000e+02
1.100000000000000000e+01,2.960000000000000000e+02,3.820000000000000000e+02
1.200000000000000000e+01,2.980000000000000000e+02,3.830000000000000000e+02
1.300000000000000000e+01,3.050000000000000000e+02,3.840000000000000000e+02
1.400000000000000000e+01,3.050000000000000000e+02,3.830000000000000000e+02
1.500000000000000000e+01,3.040000000000000000e+02,3.810000000000000000e+02
1.600000000000000000e+01,3.080000000000000000e+02,3.800000000000000000e+02
1.700000000000000000e+01,3.080000000000000000e+02,3.780000000000000000e+02
1.800000000000000000e+01,3.130000000000000000e+02,3.770000000000000000e+02
1.900000000000000000e+01,3.130000000000000000e+02,3.750000000000000000e+02
2.000000000000000000e+01,3.230000000000000000e+02,3.710000000000000000e+02
2.100000000000000000e+01,3.200000000000000000e+02,3.680000000000000000e+02
2.200000000000000000e+01,3.200000000000000000e+02,3.650000000000000000e+02
2.300000000000000000e+01,3.250000000000000000e+02,3.500000000000000000e+02
2.400000000000000000e+01,3.270000000000000000e+02,3.550000000000000000e+02
2.500000000000000000e+01,3.340000000000000000e+02,3.840000000000000000e+02
2.600000000000000000e+01,2.970000000000000000e+02,3.540000000000000000e+02
2.700000000000000000e+01,3.230000000000000000e+02,3.910000000000000000e+02
2.800000000000000000e+01,3.160000000000000000e+02,3.700000000000000000e+02
2.900000000000000000e+01,2.700000000000000000e+02,3.710000000000000000e+02
3.000000000000000000e+01,1.950000000000000000e+02,3.470000000000000000e+02
3.100000000000000000e+01,1.280000000000000000e+02,3.080000000000000000e+02
3.200000000000000000e+01,1.180000000000000000e+02,3.090000000000000000e+02
3.300000000000000000e+01,1.260000000000000000e+02,3.030000000000000000e+02
3.400000000000000000e+01,1.260000000000000000e+02,3.020000000000000000e+02
3.500000000000000000e+01,1.250000000000000000e+02,3.020000000000000000e+02
3.600000000000000000e+01,1.250000000000000000e+02,3.020000000000000000e+02
3.700000000000000000e+01,1.250000000000000000e+02,3.020000000000000000e+02
