minutes,x,y
0.000000000000000000e+00,2.720000000000000000e+02,3.640000000000000000e+02
1.000000000000000000e+00,2.720000000000000000e+02,3.660000000000000000e+02
2.000000000000000000e+00,2.740000000000000000e+02,3.630000000000000000e+02
3.000000000000000000e+00,2.750000000000000000e+02,3.630000000000000000e+02
4.000000000000000000e+00,2.970000000000000000e+02,3.640000000000000000e+02
5.000000000000000000e+00,2.770000000000000000e+02,3.610000000000000000e+02
6.000000000000000000e+00,3.020000000000000000e+02,3.630000000000000000e+02
7.000000000000000000e+00,2.760000000000000000e+02,3.600000000000000000e+02
8.000000000000000000e+00,2.760000000000000000e+02,3.590000000000000000e+02
9.000000000000000000e+00,2.760000000000000000e+02,3.580000000000000000e+02
1.000000000000000000e+01,2.760000000000000000e+02,3.550000000000000000e+02
1.100000000000000000e+01,2.710000000000000000e+02,3.540000000000000000e+02
1.200000000000000000e+01,2.700000000000000000e+02,3.520000000000000000e+02
1.300000000000000000e+01,2.670000000000000000e+02,3.500000000000000000e+02
1.400000000000000000e+01,2.690000000000000000e+02,3.460000000000000000e+02
1.500000000000000000e+01,2.690000000000000000e+02,3.440000000000000000e+02
1.600000000000000000e+01,2.720000000000000000e+02,3.400000000000000000e+02
1.700000000000000000e+01,2.780000000000000000e+02,3.350000000000000000e+02
1.800000000000000000e+01,2.900000000000000000e+02,3.290000000000000000e+02
1.900000000000000000e+01,3.070000000000000000e+02,3.220000000000000000e+02
2.000000000000000000e+01,3.370000000000000000e+02,3.320000000000000000e+02
2.100000000000000000e+01,3.630000000000000000e+02,3.220000000000000000e+02
2.200000000000000000e+01,3.680000000000000000e+02,3.080000000000000000e+02
2.300000000000000000e+01,3.780000000000000000e+02,2.860000000000000000e+02
2.400000000000000000e+01,3.880000000000000000e+02,2.530000000000000000e+02
2.500000000000000000e+01,4.220000000000000000e+02,2.870000000000000000e+02
2.600000000000000000e+01,4.560000000000000000e+02,3.210000000000000000e+02
2.700000000000000000e+01,4.900000000000000000e+02,3.550000000000000000e+02
2.800000000000000000e+01,5.240000000000000000e+02,3.890000000000000000e+02
2.900000000000000000e+01,5.580000000000000000e+02,4.230000000000000000e+02
3.000000000000000000e+01,5.920000000000000000e+02,4.250000000000000000e+02
3.100000000000000000e+01,6.260000000000000000e+02,4.250000000000000000e+02
3.200000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
3.300000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
3.400000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
3.500000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
3.600000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
3.700000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
3.800000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
3.900000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
4.000000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
4.100000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
4.200000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
4.300000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
4.400000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
4.500000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
4.600000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
4.700000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
4.800000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
4.900000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
5.000000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
5.100000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
5.200000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
5.300000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
5.400000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
5.500000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
5.600000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
5.700000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
